trade_date,date_str,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma20,ma60,dif,dea,macd,kdj_k,kdj_d,kdj_j,rsi6,rsi12,rsi24,boll_upper,boll_mid,boll_lower
20260126,2026-01-26,1340.51,1355.0,1325.12,1342.0,1337.0,5.0,0.374,80166.06,10751225.525,1348.73,1369.96,1390.73,1421.35,-20.1846,-13.7968,-12.7756,9.99,12.24,5.48,10.0,15.59,35.09,1449.62,1390.73,1331.84
20260127,2026-01-27,1344.98,1353.7,1338.0,1343.01,1342.0,1.01,0.0753,48415.96,6514513.216,1342.63,1363.16,1387.17,1419.9,-20.8159,-15.2006,-11.2306,14.33,12.94,17.12,13.35,10.52,35.65,1448.52,1387.17,1325.82
20260128,2026-01-28,1343.04,1346.71,1322.01,1323.69,1343.01,-19.32,-1.4386,76218.01,10135019.524,1337.15,1355.73,1383.26,1418.04,-22.6144,-16.6834,-11.862,10.3,12.06,6.77,9.71,5.39,32.91,1450.08,1383.26,1316.44
20260129,2026-01-29,1335.0,1445.0,1329.06,1437.72,1323.69,114.03,8.6146,189534.4,26305591.086,1356.68,1360.61,1385.66,1418.19,-14.6694,-16.2806,3.2224,38.22,20.78,73.11,78.24,56.26,55.21,1456.56,1385.66,1314.76
20260130,2026-01-30,1435.0,1435.0,1401.0,1401.0,1437.72,-36.72,-2.554,94479.74,13366329.414,1369.48,1362.51,1386.85,1417.87,-11.2068,-15.2658,8.118,46.89,29.48,81.71,67.01,50.63,48.25,1457.94,1386.85,1315.76
20260202,2026-02-02,1425.0,1458.58,1411.62,1427.0,1401.0,26.0,1.8558,85724.27,12312646.443,1386.48,1367.61,1386.9,1417.74,-6.2921,-13.4711,14.358,56.89,38.62,93.42,72.27,57.5,51.6,1458.1,1386.9,1315.7
20260203,2026-02-03,1445.0,1476.81,1443.03,1474.92,1427.0,47.92,3.3581,86320.66,12628439.703,1412.87,1377.75,1389.25,1418.43,1.4528,-10.4863,23.8782,70.85,49.36,113.83,77.13,65.75,58.31,1468.36,1389.25,1310.13
20260204,2026-02-04,1485.0,1533.27,1474.0,1525.0,1474.92,50.08,3.3954,109122.93,16444345.98,1453.13,1395.14,1394.33,1419.47,11.4992,-6.0892,35.1768,79.26,59.33,119.13,80.94,71.97,64.2,1492.35,1394.33,1296.3
20260205,2026-02-05,1520.0,1565.0,1515.0,1555.0,1525.0,30.0,1.9672,91622.74,14183456.476,1476.58,1416.63,1401.46,1421.07,21.6325,-0.5449,44.3548,84.8,67.82,118.77,87.95,74.75,68.01,1521.89,1401.46,1281.03
20260206,2026-02-06,1555.0,1568.0,1505.88,1515.01,1555.0,-39.99,-2.5717,78965.38,12019878.669,1499.39,1434.43,1406.26,1421.91,26.135,4.7911,42.6878,82.69,72.78,102.51,66.75,71.34,59.18,1536.36,1406.26,1276.15
20260209,2026-02-09,1518.0,1542.88,1513.49,1524.96,1515.01,9.95,0.6568,51168.46,7809067.705,1518.98,1452.73,1411.34,1422.82,30.1585,9.8646,40.5878,82.63,76.06,95.76,80.39,74.13,59.83,1551.29,1411.34,1271.4
20260210,2026-02-10,1524.97,1524.97,1496.5,1504.8,1524.96,-20.16,-1.322,39575.96,5953269.321,1524.95,1468.91,1416.03,1423.62,31.3589,14.1635,34.3908,79.6,77.24,84.32,69.64,70.97,58.01,1561.79,1416.03,1270.28
20260211,2026-02-11,1504.8,1514.0,1496.0,1504.33,1504.8,-0.47,-0.0312,30928.46,4648360.03,1520.82,1486.97,1421.35,1424.17,31.9046,17.7117,28.3858,73.69,76.06,68.96,59.76,70.51,59.24,1571.77,1421.35,1270.93
20260212,2026-02-12,1500.2,1502.82,1473.36,1486.6,1504.33,-17.73,-1.1786,46245.82,6874370.113,1507.14,1491.86,1426.24,1424.35,30.5542,20.2802,20.548,65.11,72.41,50.51,33.77,67.41,56.63,1578.45,1426.24,1274.02
20260213,2026-02-13,1486.6,1507.8,1470.58,1485.3,1486.6,-1.3,-0.0874,41679.01,6216379.203,1501.2,1500.29,1431.4,1424.59,29.0442,22.033,14.0224,54.68,66.5,31.05,11.1,70.49,56.13,1584.27,1431.4,1278.53
20260224,2026-02-24,1521.0,1524.4,1463.6,1466.8,1485.3,-18.5,-1.2455,41912.53,6198840.572,1489.57,1504.27,1435.94,1424.58,26.0545,22.8373,6.4344,37.48,56.83,-1.22,14.61,54.87,55.45,1587.35,1435.94,1284.53
20260225,2026-02-25,1470.0,1509.66,1467.88,1491.66,1466.8,24.86,1.6948,36880.67,5490316.149,1486.94,1505.95,1441.85,1425.0,25.3983,23.3495,4.0976,33.94,49.2,3.43,29.94,65.8,58.94,1592.27,1441.85,1291.42
